0.0,0.23588418162420666,0.46587125870780816,0.7017554403320148,0.8020062175223026,0.9022569947125905,1.0025077719028783,1.1027585490931662,1.197112221742849,1.2973629989331366,2.83061017949048,4.363857360047823,5.8971045406051665
0.0,0.04,0.079,0.119,0.136,0.153,0.17,0.187,0.203,0.22,0.48,0.74,1.0
1000.0,1140.0,1424.0,2013.0,2087.0,2946.0,3790.0,6359.0,7508.0,7081.0,31739.0,55422.0,69830.0
1000.0,1120.0,1379.0,2171.0,2343.0,3463.0,3873.0,6823.0,7734.0,8964.0,34607.0,55097.0,68281.0
1000.0,1108.0,1272.0,2220.0,2465.0,2836.0,4514.0,5144.0,6043.0,8339.0,32943.0,52821.0,68521.0
1000.0,1117.0,1370.0,2482.0,2721.0,3884.0,4575.0,5481.0,8148.0,9519.0,34519.0,57347.0,69030.0
1000.0,1123.0,1287.0,2008.0,2656.0,2454.0,4342.0,5315.0,5814.0,7350.0,34821.0,55407.0,68745.0
1000.0,1094.0,1511.0,2245.0,3117.0,3101.0,4148.0,5688.0,6527.0,8885.0,33099.0,55026.0,68587.0
1000.0,1137.0,1328.0,1895.0,2400.0,3689.0,5262.0,6651.0,7702.0,9291.0,36619.0,55127.0,65985.0
1000.0,1113.0,1436.0,2417.0,2132.0,3426.0,4657.0,7395.0,6402.0,9305.0,34884.0,54100.0,69193.0
1000.0,1108.0,1357.0,1985.0,2645.0,2762.0,3685.0,4410.0,7946.0,9503.0,33867.0,54215.0,68020.0
1000.0,1099.0,1529.0,2220.0,3157.0,3925.0,4631.0,5848.0,7806.0,9282.0,35329.0,55145.0,68690.0
